"","ph1","ph1_gv"
"B001",110.948172,110.005741032923
"B002",80.3792021,109.490228645977
"B003",101.0641502,109.727472635836
"B004",127.3979867,109.570614532846
"B005",104.8135825,109.569329022391
"B006",106.8770293,109.835101890965
"B007",72.20702993,110.272551043729
"B008",124.9793856,110.103206977446
"B009",133.4612131,109.872436947851
"B010",NA,109.699263701204
"B011",104.4336708,109.718821891126
"B012",110.5706098,109.686800200609
"B013",NA,109.473336808254
"B014",NA,109.463260380999
"B015",NA,109.111946396628
"B016",117.0723039,109.226503586712
"B017",91.12970304,109.186921267392
"B018",83.45537341,109.426146581016
"B019",112.6936642,109.566158299396
"B020",NA,109.434762364023
"B021",118.4357727,109.425653417828
"B022",106.4763667,108.942548580048
"B023",105.9309565,109.772524941765
"B024",119.0405939,109.772524941765
"B025",112.6598931,109.697218233607
"B026",118.5979561,109.316141980105
"B027",114.6364834,108.97619003539
"B028",128.0005141,108.97619003539
"B029",108.3335934,108.991936658736
"B030",119.1102035,109.258621806533
"B031",NA,109.190848554461
"B032",110.9910218,109.453868495004
"B033",105.06823,109.534355702538
"B034",118.8072487,109.54668230118
"B035",95.92176422,109.568379270493
"B036",NA,109.256910663484
"B037",136.5264466,108.948840998683
"B038",134.244459,108.965679736722
"B039",124.7810757,109.536364391158
"B040",88.24224701,109.853417535243
"B041",96.49533542,109.624800040103
"B042",119.3617537,109.769255982665
"B043",92.52532581,109.655584887787
"B044",NA,109.125033707346
"B045",134.5322398,109.238515786684
"B046",126.7664422,109.469635413664
"B047",NA,109.714554302518
"B048",102.1675476,109.810980484617
"B049",105.8441408,110.006458577975
"B050",102.3900021,109.611555026213
"B051",122.3579795,109.529849107793
"B052",117.7650806,109.843228283865
"B053",96.15930137,109.715047316912
"B054",110.6945618,109.710286260829
"B055",103.3885394,109.526107227035
"B056",99.33192995,109.873269349991
"B057",92.07110022,109.597550607161
"B058",118.0688496,109.591846122336
"B059",106.2592094,109.591846122336
"B060",NA,109.388512332311
"B061",91.97572342,109.579525299177
"B062",142.5993877,109.144917154357
"B063",95.0263973,109.053621282358
"B064",125.8648558,109.161796952203
"B065",113.3432524,109.020491866042
"B066",124.4016962,109.016731104884
"B067",121.6360597,108.95415306063
"B068",96.85959273,110.269265416765
"B069",NA,109.566181667147
"B070",91.25448823,109.771459614866
"B071",132.4869367,109.461725739622
"B072",116.8159747,109.768777854897
"B073",79.70936754,109.612015065337
"B074",115.6076147,109.078932481621
"B075",NA,108.890308533377
"B076",109.2184405,109.594407709542
"B077",127.4247954,109.83476257421
"B078",113.6855739,109.769255982665
"B079",105.2417459,109.348811150157
"B080",NA,109.166038036334
"B081",126.4850505,109.352247720881
"B082",123.7404364,109.386313223759
"B083",125.7680725,109.471915682918
"B084",93.13707928,109.600660798772
"B085",127.7642246,109.688651137389
"B086",108.8795378,109.810448518255
"B087",NA,109.904328763082
"B088",121.2552039,109.886931695766
"B089",100.741407,110.150516060741
"B090",129.0484647,110.02315653712
"B091",NA,109.950824972548
"B092",95.7999439,109.873234019323
