,Trial,Block,FactorA,FactorB,PlotNum,FieldRow,FieldCol,yO,y1,y2,y3,y1
1,1,1,A1,B5,101,1,1,-0.614385245,-0.614385245,0.5,0.5,1
2,1,1,A2,B3,102,1,2,-0.411216607,-0.411216607,0.75,0.75,1
3,1,1,A1,B2,103,1,3,-1.129685276,-1.129685276,0.65,0.65,1
4,1,1,A2,B5,104,1,4,1.269793097,1.269793097,0.7,0.7,1
5,1,1,A4,B3,105,2,1,0.452494947,0.452494947,0.85,0.85,1
6,1,1,A3,B3,106,2,2,-0.03494228,-0.03494228,0.95,0.95,1
7,1,1,A1,B3,107,2,3,-3.182233255,-3.182233255,1,1,1
8,1,1,A4,B1,108,2,4,0.503617898,0.503617898,1.15,1.15,1
9,1,1,A3,B1,109,3,1,0.166044136,0.166044136,1.1,1.1,1
10,1,1,A3,B5,110,3,2,-1.026154543,-1.026154543,0.5,0.5,1
11,1,1,A4,B2,111,3,3,-1.115135795,-1.115135795,1.3,1.3,1
12,1,1,A4,B5,112,3,4,-0.708423855,-0.708423855,1.35,1.35,1
13,1,1,A3,B2,113,4,1,-1.079026966,-1.079026966,1.45,1.45,1
14,1,1,A1,B4,114,4,2,-0.774090766,-0.774090766,0.9,0.9,1
15,1,1,A1,B1,115,4,3,-0.296049086,-0.296049086,1.15,1.15,1
16,1,1,A3,B4,116,4,4,1.145881415,1.145881415,1.3,1.3,1
17,1,1,A2,B2,117,5,1,-1.654850587,-1.654850587,1.4,1.4,1
18,1,1,A4,B4,118,5,2,-3.238721069,-3.238721069,1.75,1.75,1
19,1,1,A2,B1,119,5,3,-0.34515618,-0.34515618,1.45,1.45,1
20,1,1,A2,B4,120,5,4,-0.163045546,-0.163045546,1.55,1.55,1
21,1,2,A4,B5,201,6,1,0.782266798,0.782266798,1.45,1.45,0.782266798
22,1,2,A3,B5,202,6,2,2.054209508,2.054209508,1.7,1.7,2.054209508
23,1,2,A3,B2,203,6,3,0.034412357,0.034412357,1.5,1.5,0.034412357
24,1,2,A3,B3,204,6,4,-0.787332048,-0.787332048,1.4,1.4,-0.787332048
25,1,2,A1,B2,205,7,1,0.35501857,0.35501857,1.5,1.5,0.35501857
26,1,2,A3,B1,206,7,2,0.813041291,0.813041291,1,1,0.813041291
27,1,2,A1,B4,207,7,3,0.097538541,0.097538541,0.95,0.95,0.097538541
28,1,2,A3,B4,208,7,4,0.802415317,0.802415317,1.25,1.25,0.802415317
29,1,2,A1,B1,209,8,1,-1.382571214,-1.382571214,1.55,1.55,-1.382571214
30,1,2,A1,B3,210,8,2,-0.105880764,-0.105880764,2,2,-0.105880764
31,1,2,A4,B2,211,8,3,-0.430412365,-0.430412365,1.75,1.75,-0.430412365
32,1,2,A4,B4,212,8,4,0.260757914,0.260757914,1.3,1.3,0.260757914
33,1,2,A2,B2,213,9,1,0.335179206,0.335179206,1.5,1.5,0.335179206
34,1,2,A2,B4,214,9,2,0.166280964,0.166280964,1.5,1.5,0.166280964
35,1,2,A2,B1,215,9,3,-0.322534367,-0.322534367,1.3,1.3,-0.322534367
36,1,2,A1,B5,216,9,4,0.578907942,0.578907942,1.5,1.5,0.578907942
37,1,2,A4,B3,217,10,1,-2.274546164,-2.274546164,1.55,1.55,-2.274546164
38,1,2,A2,B3,218,10,2,-0.460186919,-0.460186919,1.2,1.2,-0.460186919
39,1,2,A4,B1,219,10,3,-0.814478287,-0.814478287,1.55,1.55,-0.814478287
40,1,2,A2,B5,220,10,4,-0.079181293,-0.079181293,1.35,1.35,-0.079181293
41,1,1,A1,B5,101,1,1,-0.614385245,1.614385245,0.601584319,.,1.614385245
42,1,1,A2,B3,102,1,2,-0.411216607,1.911216607,0.390765666,.,1.911216607
43,1,1,A1,B2,103,1,3,-1.129685276,2.429685276,1.849739186,.,2.429685276
44,1,1,A2,B5,104,1,4,1.269793097,0.130206903,0.291350925,.,0.130206903
45,1,1,A4,B3,105,2,1,0.452494947,1.247505053,0.606281386,.,1.247505053
46,1,1,A3,B3,106,2,2,-0.03494228,1.93494228,-0.623645487,.,1.93494228
47,1,1,A1,B3,107,2,3,-3.182233255,5.182233255,2.842925577,.,5.182233255
48,1,1,A4,B1,108,2,4,0.503617898,1.796382102,0.981213119,.,1.796382102
49,1,1,A3,B1,109,3,1,0.166044136,2.033955864,0.50390066,.,2.033955864
50,1,1,A3,B5,110,3,2,-1.026154543,2.026154543,0.455509374,.,2.026154543
51,1,1,A4,B2,111,3,3,-1.115135795,3.715135795,1.50335597,.,3.715135795
52,1,1,A4,B5,112,3,4,-0.708423855,3.408423855,1.164698445,.,3.408423855
53,1,1,A3,B2,113,4,1,-1.079026966,3.979026966,1.6024681,.,3.979026966
