"","Rgn","PH","FLL","FLW","TN","SD","PL","GL","GW","GLWR","GT","KGW"
"1",1,118,32.46,1.51,12.2,4.71,24.19,9.22,2.88,3.22,1.94,30.45
"2",1,88.1,27.61,1.64,16.5,5.33,32.25,8.77,3.44,2.72,2.07,20.58
"3",1,93.5,31.96,1.08,10.4,4.42,16.45,9.67,2.93,2.59,2.06,25.81
"4",1,97,13.47,1.42,15.8,4.47,20.97,9.28,2.94,2.52,2.12,31.62
"5",1,102.4,40.97,1.61,16.2,4.42,24.63,8.76,2.24,3.51,2.11,27.66
"6",2,116.5,31.31,1.23,7.6,5.98,22.09,8.1,2.54,3.16,2.32,27.22
"7",2,136.1,46.93,1.19,8.2,4.24,23.8,8.54,2.78,2.55,1.99,26.96
"8",2,111.1,36.83,1.61,12,4.29,17.72,8.94,3.42,3.06,2.03,30.53
"9",2,112.1,37.75,1.6,7.6,4.68,23.57,9.86,2.96,3.35,2.05,26.92
"10",2,119.9,38.42,1.36,3.7,6.26,19.38,9.78,2.57,2.33,1.87,21.72
"11",3,141,29.06,1.74,3.4,5.57,25.77,9.15,3.84,3.46,2,29.29
"12",3,118.3,36.48,1.5,-2.5,8.17,21.9,8.96,2.23,3.23,2.07,28.02
"13",3,93.8,29.81,1.13,7.4,5.43,25.77,7.46,3.32,2.68,1.96,25.69
"14",3,103.3,32.07,1.16,29.4,4,22.38,8.95,3.17,3.07,1.89,23.41
"15",3,84.7,37.93,1.34,10.7,5.84,31.15,8.54,3.01,3.27,2.31,27.86
