"name","dim1","dim2","type"
"E1",-0.3623602280694,0.655007446290168,"ENV"
"E2",0.600161736947346,-0.203283821413212,"ENV"
"E3",-0.646202609137919,0.454982315924368,"ENV"
"E4",0.604893580777337,-0.217525122922912,"ENV"
"E5",0.43539697897956,-0.0703074715305298,"ENV"
"E6",0.357294523797696,0.241758747459921,"ENV"
"E7",0.0108160167053804,-0.13005074941975,"ENV"
"E8",-1,-0.730581344388053,"ENV"
"TMAXV",-0.741432937067357,-0.607355776356724,"VAR"
"TMAXF",-0.895179542761239,-0.596050818726865,"VAR"
"TMAXG",-0.957120554924293,-0.239682443115939,"VAR"
"TMINV",-0.69894743374017,-0.960745259923437,"VAR"
"TMINF",-0.770628914400793,-0.812833115787026,"VAR"
"TMING",-0.808964286896732,-0.475397668432624,"VAR"
"RHV",0.680406636560239,-1,"VAR"
"RHF",0.709659831728388,-0.915055002915378,"VAR"
"RHG",0.731293851820469,-0.956965029874256,"VAR"
"G1",-0.535462948127092,0.670822685538718,"GENO"
"G10",0.256544759744826,-0.724111418300298,"GENO"
"G11",0.561472559659661,0.0477561254443115,"GENO"
"G12",0.470536098991601,-0.298851964571311,"GENO"
"G13",0.230274776702654,0.233552341995412,"GENO"
"G14",0.082530675068079,0.434254398786707,"GENO"
"G15",-0.421179522286298,-0.160021129755925,"GENO"
"G16",0.339155854476556,-0.0421681533377193,"GENO"
"G17",-0.447172075399595,-0.199500870771704,"GENO"
"G18",0.341770838555152,0.388492490328473,"GENO"
"G19",0.407169494611758,-0.103051285274546,"GENO"
"G2",0.397148567844488,1,"GENO"
"G20",0.335488880240155,0.799289980791662,"GENO"
"G21",-0.227421298764141,0.417523084046577,"GENO"
"G22",-0.777464097719146,0.713050911355344,"GENO"
"G23",-0.419178246241941,0.388753461472684,"GENO"
"G24",0.038315135703121,0.765955453337645,"GENO"
"G25",-0.163575731582015,-0.548502192100387,"GENO"
"G26",-0.394906554137628,-0.10939870154151,"GENO"
"G27",-0.199139504904566,0.923990204793416,"GENO"
"G28",-0.0892416336420291,-0.604036450123472,"GENO"
"G29",0.0550564908885752,-0.845110198760448,"GENO"
"G3",-0.750417032130856,0.319015709118493,"GENO"
"G4",0.468354154631011,-0.0619728461905916,"GENO"
"G5",-0.607973063798772,0.447229215948268,"GENO"
"G6",-0.745308160135651,0.132758339114615,"GENO"
"G7",0.246297639468919,-0.856332162157185,"GENO"
"G8",0.506278261197485,-0.737517685355604,"GENO"
"G9",-0.413373192076475,-0.115046575817953,"GENO"
