8.56,2.18,3.65,0.31,25.07,0.18,3.93
7.47,2.33,2.11,0.56,53.8,0.2,3.46
7.55,2.55,2.72,0.42,44.3,0.2,3.3
7.63,2.49,1.83,0.36,30.6,0.21,3.44
7.72,2.65,2.06,0.39,27.67,0.2,2.63
8.37,2.18,2.51,0.45,38.53,0.21,4.53
6.04,2.22,0.88,0.4,33.4,0.15,2.3
5.84,2.37,1.41,0.68,10.83,0.13,2.82
5.65,1.78,2.11,0.49,23.68,0.14,1.95
6.03,2.12,1.37,0.53,17.3,0.16,2.38
6.4,2,1.55,0.46,22.41,0.17,2.57
6.1,2.12,0.84,0.48,18.9,0.13,2.63
6.19,2.28,1.62,0.62,3.69,0.05,3.66
6.38,2.09,1.2,0.58,10.23,0.14,2.24
5.36,1.74,1.98,0.53,20.78,0.15,1.84
6.16,2.31,1,0.44,35.2,0.16,2.36
5.62,1.83,1.99,0.55,19.57,0.14,1.92
5.2,1.73,1.87,0.51,14.02,0.1,1.84
5.55,1.9,1.52,0.55,16.72,0.15,2.1
6.1,2.31,0.98,0.45,35.95,0.18,2.49
6.04,2.24,0.92,0.39,33.1,0.16,2.42
6.35,2.07,1.37,0.56,16.8,0.16,2.51
6.6,2.06,1.46,0.58,17.28,0.2,2.19
5.68,2.13,1.11,0.56,12.76,0.18,2.36
5.76,1.92,1.14,0.49,10.82,0.15,2.2
5.48,2.1,1.26,0.55,9.05,0.15,2.08
5.37,2.03,1.09,0.49,7.97,0.16,1.84
5.62,1.99,1.04,0.54,9.65,0.14,2.35
5.89,1.94,1.1,0.54,12.68,0.15,2.04
5.59,2.09,1,0.63,9.92,0.16,3.36
5.56,1.82,2.08,0.52,22,0.16,1.58
5.75,1.88,1.89,0.55,22.28,0.16,1.91
8.66,2.13,8.17,1.45,0,0,4.09
8.99,2.19,8.83,1.19,0,0,4.22
8.98,2.25,7.21,1.15,13,0.14,3.99
8.79,2.2,8.79,1.42,9.47,0.21,4.27
8.24,2.27,8.3,1.7,12.8,0.2,3.91
9.43,2.29,9.06,1.77,0,0,4.86
8.69,2.19,7.36,0.77,14.07,0.2,4.77
8.53,2.29,8.05,1.49,7.53,0.13,4.37
9.09,2.28,8.85,1.89,9.93,0.21,4
8.94,2.13,8.85,1.28,4.07,0.13,4.13
5.85,2.36,1.39,0.47,25.27,0.21,2.32
5.89,2.22,1.36,0.45,18.67,0.2,1.69
5.53,2.13,1.23,0.35,9.73,0.14,2.23
6.4,2.22,1.48,0.45,18.3,0.2,1.65
6.58,2.43,1.72,0.53,31.87,0.21,2.69
5.51,2.19,1.37,0.45,28.53,0.2,2.34
6.19,2.28,1.51,0.47,23.33,0.2,1.93
6.08,2.29,1.5,0.55,30.2,0.2,2.29
6.81,2.55,1.83,0.47,28.67,0.2,2.35
6.05,2.31,1.48,0.49,36.73,0.2,2.76
6,2.27,1.41,0.45,28.07,0.22,2.2
6.41,2.51,2.05,0.61,27.8,0.21,2.57
7.62,2.61,2.33,0.42,49.73,0.3,3.68
6.06,2.28,1.87,0.5,26.8,0.15,2.72
5.84,2.31,1.57,0.58,22.4,0.19,2.21
5.96,2.31,1.41,0.5,23.33,0.2,2.31
5.87,2.22,1.38,0.48,25.13,0.2,2.33
5.6,2.28,1.35,0.47,29.13,0.2,1.97
5.74,2.25,1.22,0.43,18.93,0.19,2.11
5.87,2.33,1.36,0.48,21.07,0.2,2.51
6.75,2.15,1.66,0.49,30.7,0.2,1.97
7.77,2.43,2.43,0.4,43.07,0.22,3.24
5.56,2.27,1.35,0.42,14.33,0.2,1.72
5.21,1.91,1.57,0.31,19.93,0.11,2.72
6.33,2.45,1.93,0.52,27.27,0.21,2.49
6.21,2.29,1.73,0.46,22.47,0.22,2
5.75,2.21,1.68,0.4,27.33,0.13,2.49
5.15,2.19,1.01,0.49,8.27,0.19,1.89
5.76,2.17,1.51,0.38,26.93,0.13,2.85
8.32,2.27,2.2,0.45,46.07,0.2,3.9
5.55,2.3,1.49,0.47,21.73,0.2,2.42
6.19,2.22,1.55,0.47,25.33,0.19,2.38
6.83,2.31,1.34,0.43,18.8,0.2,2.38
5.83,2.1,1.67,0.31,23.53,0.16,2.84
5.79,2.14,1.67,0.31,25,0.13,2.9
6.13,2.26,1.97,0.47,21.6,0.19,1.96
5.13,2.35,1.41,0.46,11.93,0.17,1.69
4.88,2.25,1.28,0.43,22.07,0.18,1.67
7.81,2.7,2.43,0.52,48.53,0.21,4.34
5.59,2.34,1.55,0.39,7.87,0.09,2.08
5.17,2.03,1.25,0.46,14.53,0.18,2.17
5.6,2.19,1.41,0.4,13.2,0.17,1.45
6.37,2.29,1.79,0.39,30.87,0.21,2.81
5.74,2.34,1.55,0.51,24.07,0.21,2.91
5.78,2.34,1.79,0.43,24.4,0.21,2.79
5.73,2.47,1.34,0.44,19.47,0.2,2.81
6.68,2.28,1.77,0.51,22.93,0.2,2.79
6.41,2.23,1.65,0.46,16,0.2,2.4
5.29,2.2,1.34,0.47,15.53,0.2,1.32
6.08,2.23,1.58,0.38,16.73,0.17,2.65
6.03,2.22,1.49,0.44,13.93,0.2,2.27
5.99,2.18,1.87,0.49,23,0.19,2.12
6.12,2.31,1.57,0.49,19.87,0.2,2.27
6.02,2.29,1.45,0.48,16.73,0.2,2.21
6.07,2.37,1.41,0.81,17.8,0.2,2.26
5.83,2.21,1.21,0.45,24.33,0.21,2.19
4.812,1.816,1.364,0.456,14,0.1,2.244
5.02,1.792,1.596,0.464,21.56,0.116,2.068
4.615,1.935,1.605,0.525,18.2,0.12,2.005
4.712,1.8,1.408,0.568,12.16,0.108,1.944
4.448,1.804,1.24,0.4536,14.68,0.1,2.116
4.552,1.768,1.408,0.472,17.8,0.1,2.308
4.744,1.888,1.36,0.448,21.48,0.1,2.46
4.684,1.936,1.336,0.488,15.28,0.108,2.208
4.64,1.784,1.376,0.476,17.04,0.1,2.196
4.668,1.816,1.424,0.484,19.16,0.108,2.364
4.628,1.804,1.412,0.468,18.44,0.12,2.2
4.788,1.788,1.464,0.492,18.44,0.104,2.04
4.816,1.78,1.696,0.492,16.6,0.12,2.196
4.704,1.848,1.64,0.468,19.24,0.136,2.116
4.564,1.8,1.444,0.444,15.56,0.108,2.036
4.776,1.832,1.392,0.48,21.72,0.136,2.0532
4.696,1.868,1.5,0.532,13.56,0.132,2.076
4.744,1.752,1.536,0.48,18.24,0.128,2.084
4.812,1.844,1.452,0.516,19.32,0.14,2.188
4.676,1.896,1.436,0.48,17.28,0.108,2.176
4.568,1.824,1.408,0.48,18.12,0.108,2.316
4.784,1.848,1.516,0.532,13.96,0.108,2.016
4.624,1.844,1.372,0.488,21.64,0.128,2.016
4.728,1.824,1.28,0.472,20.68,0.132,2.028
4.76,1.856,1.356,0.488,20.52,0.14,2.128
4.808,1.812,1.336,0.468,19.48,0.14,2.2848
4.824,1.788,1.308,0.476,15.16,0.1,2.044
4.68,1.792,1.328,0.48,17.36,0.1,2.124
4.788,1.848,1.264,0.412,16.6,0.108,2.184
4.796,1.816,1.268,0.472,16.64,0.104,2.148
4.74,1.844,1.28,0.476,15.24,0.108,2.092
4.9,1.836,1.344,0.512,16.088,0.1,2.232
4.632,1.8,1.188,0.484,11.12,0.1,1.992
4.544,1.792,1.244,0.468,16.16,0.104,1.972
4.72,1.804,1.232,0.468,19.24,0.116,2.112
4.524,1.784,1.332,0.492,19.72,0.116,2.192
4.556,1.764,1.316,0.508,19.8,0.14,2.076
4.5004,1.704,1.224,0.472,21.44,0.116,2.124
4.844,1.832,1.148,0.46,16.52,0.12,2.232
4.696,1.88,1.404,0.556,14.32,0.104,2.172
4.72,1.808,1.496,0.544,12.48,0.104,2.06
4.66,1.815,1.415,0.475,22.275,0.1,2.165
6.052,2.08,0.852,0.54,23.12,0.132,2.296
5.804,2.264,1.136,0.544,53.64,0.2,1.8
4.66,1.792,1.36,0.476,17.84,0.104,1.928
4.49,1.8,1.19,0.46,17.4,0.115,2.01
4.468,1.796,1.208,0.464,16.4,0.112,2.028
4.7,1.812,1.284,0.4932,16.96,0.104,2.08
4.784,1.872,1.496,0.552,13.56,0.108,2.008
4.52,1.78,1.3572,0.492,15.68,0.1,1.972
4.98,1.97,1.505,0.505,18.15,0.175,2.23
4.736,1.812,1.552,0.432,12.52,0.128,2.06
4.668,1.816,1.344,0.428,14.24,0.1,2.316
4.704,1.82,1.236,0.38,26.96,0.1,2.304
5.2,2.388,1.26,0.44,0,0,2.216
