environment,p1,p2,block,respvar,Y2,Y3
Env1,P001,P001,A,34.8713385889362,376.272357310488,271.833607661634
Env1,P001,P001,B,60.8732090023877,296.300453552405,176.956544570089
Env1,P001,P001,C,341.919567375527,38.4417756799404,61.9852727452428
Env1,P001,P002,A,273.812625021367,267.353986822377,370.528976177412
Env1,P001,P002,B,184.750731215002,113.650623067017,84.2196473834359
Env1,P001,P002,C,207.749346736066,37.8947216199904,155.018429979093
Env1,P001,P003,A,277.538753491893,384.663903844842,146.031870365052
Env1,P001,P003,B,183.913709245391,736.884100024543,12.2386851822999
Env1,P001,P003,C,100.193994380148,365.157639068268,108.910803714883
Env1,P001,P004,A,260.562865991203,504.275175123138,193.772997683117
Env1,P001,P004,B,484.648494891437,259.478618770226,118.954626898503
Env1,P001,P004,C,70.9656711798454,9.24651768083042,176.171905637128
Env1,P001,P005,A,228.541250597489,338.730722120794,177.827295809623
Env1,P001,P005,B,216.830632693076,122.196552137361,34.3624700982919
Env1,P001,P005,C,135.586477905677,6.12296602676882,277.624058758593
Env1,P001,P006,A,330.081537327253,383.304171605423,240.819215589978
Env1,P001,P006,B,194.704454150646,255.214854220752,157.635106396948
Env1,P001,P006,C,35.3611045259932,523.389202696952,68.1993813628195
Env1,P001,P007,A,737.429230170514,5.45918495368132,283.894705764537
Env1,P001,P007,B,605.240181156615,775.957674740224,154.554601934894
Env1,P001,P007,C,533.600058468623,505.796085565762,86.4231223683643
Env1,P001,P008,A,104.071354042932,352.008064173034,171.129564234654
Env1,P001,P008,B,66.6515943086671,582.204922819734,379.044361564435
Env1,P001,P008,C,753.72166362938,332.623937287952,233.831126690791
Env1,P001,P009,A,224.225000662221,386.385419438157,60.1301675628695
Env1,P001,P009,B,40.3283584913475,637.647227882565,231.060574738414
Env1,P001,P009,C,231.824855012709,121.203546782466,276.656285747201
Env1,P001,P010,A,320.844294691614,360.428155231227,78.4698444097303
Env1,P001,P010,B,204.063178134991,61.7772280205472,274.172961097583
Env1,P001,P010,C,523.472679336959,318.083594071711,203.283022751693
Env1,P001,P011,A,290.837096533274,551.703471042024,29.560050825659
Env1,P001,P011,B,218.002959469367,459.66401733364,441.280392166021
Env1,P001,P011,C,344.364362487309,300.262232182848,22.7277348457948
Env1,P001,P012,A,393.442801512046,166.645021727258,183.788452188084
Env1,P001,P012,B,103.470302896642,456.828466225289,143.291380613528
Env1,P001,P012,C,285.635157970028,300.28914372586,143.361053239784
Env1,P001,P013,A,171.588488434534,138.481309092708,83.5458298725781
Env1,P001,P013,B,347.844336399519,1067.06364649292,297.887400690752
Env1,P001,P013,C,235.98212572723,14.1653122273853,18.4408375012721
Env1,P001,P014,A,347.416996592643,340.81084175298,37.3695282612514
Env1,P001,P014,B,741.495958319118,82.2741499388086,153.147804922946
Env1,P001,P014,C,155.819282211509,676.167286297099,118.637847771189
Env1,P001,P015,A,29.5777773055734,238.714618636636,457.044289520035
Env1,P001,P015,B,251.087660022476,230.570703286025,247.748844480744
Env1,P001,P015,C,88.2707841243108,204.40487760933,282.07981456475
Env1,P001,P016,A,486.013382423687,352.513359879788,138.084306918218
Env1,P001,P016,B,206.31032720296,624.181136695546,55.0387735449624
Env1,P001,P016,C,458.181683353803,238.440142355041,311.712178034573
Env1,P001,P017,A,540.39268042306,466.164944165796,309.326010311313
Env1,P001,P017,B,617.774698847928,463.413617802119,182.889642278638
Env1,P001,P017,C,304.234899702497,331.930374344918,246.921651366889
Env1,P001,P018,A,294.600665832406,407.552492675132,272.866540732145
Env1,P001,P018,B,532.437295418855,116.610699769691,201.501607899915
Env1,P001,P018,C,724.01310684707,198.867183598176,254.871299518824
Env1,P001,P019,A,276.398744234226,216.946591398189,325.271275398085
Env1,P001,P019,B,72.0737037656105,458.902296141814,302.980647534562
Env1,P001,P019,C,395.879766977836,282.116222341552,154.833637494229
Env1,P001,P020,A,16.0079824146574,600.428330499608,41.2877249450909
Env1,P001,P020,B,171.108253672651,536.031217205435,176.142653335831
Env1,P001,P020,C,230.968187333329,571.275784016523,201.239619261209
Env1,P001,P021,A,889.015570495386,263.203916205591,316.569188587552
Env1,P001,P021,B,106.378842765176,490.906877497125,207.387555181585
Env1,P001,P021,C,423.712960296058,737.707008107903,296.649411957217
Env1,P001,P022,A,26.6210075565979,343.584925246407,417.454568126146
Env1,P001,P022,B,691.522652499659,198.223191246923,33.6805025300267
Env1,P001,P022,C,89.1321519265189,306.585345313368,52.3188460914369
Env1,P001,P023,A,202.288537621298,467.253635875407,246.458583782499
Env1,P001,P023,B,97.9464740592635,481.65525565026,232.473816471866
Env1,P001,P023,C,47.3381751057251,459.805889769816,259.578139926523
Env1,P001,P024,A,54.4272634907207,151.280400692314,55.1121834848229
Env1,P001,P024,B,91.275641379934,102.199884639432,167.928711000185
Env1,P001,P024,C,168.623271739806,304.512133310544,149.140062715786
Env1,P002,P002,A,141.656745955337,31.9666748226671,105.809585123134
Env1,P002,P002,B,231.351637388633,484.55759784833,53.9172303668059
Env1,P002,P002,C,332.129105792084,19.2190309290089,118.845238139473
Env1,P002,P003,A,316.608924330101,842.199592772724,305.700686860317
Env1,P002,P003,B,211.098151916888,282.518932088071,150.498734486588
Env1,P002,P003,C,292.871573085835,94.039477145212,88.084490906973
Env1,P002,P004,A,282.40168402279,847.519517238966,260.529852106372
Env1,P002,P004,B,344.63677722248,167.67455068838,233.20931628231
Env1,P002,P004,C,16.7726307992005,66.2820440891902,137.277396622787
Env1,P002,P005,A,151.32013923225,123.707712615536,198.212574021636
Env1,P002,P005,B,132.989443770917,62.732956831092,176.376678595664
Env1,P002,P005,C,510.014646128867,120.641507360667,152.314841314968
Env1,P002,P006,A,29.9062324271144,302.359161057935,116.276333646854
Env1,P002,P006,B,433.290186468953,320.169280656227,368.426221450624
Env1,P002,P006,C,99.77853152906,318.912089150893,37.5832405002314
Env1,P002,P007,A,320.258665145324,261.578428614735,288.38652159886
Env1,P002,P007,B,572.653617571074,319.499558185837,220.262523631618
Env1,P002,P007,C,303.415382484163,364.234780963358,205.265046737902
Env1,P002,P008,A,31.7866678623223,432.146850051255,405.950150715601
Env1,P002,P008,B,928.768721995571,200.5622160924,212.434892534636
Env1,P002,P008,C,204.410603205567,141.709227230158,235.456983930645
Env1,P002,P009,A,242.976342897548,99.9140315158044,146.23482489095
Env1,P002,P009,B,366.270545536232,102.173991304403,203.680044324338
Env1,P002,P009,C,210.290428296384,368.165668900541,310.611912004023
Env1,P002,P010,A,62.594510472783,544.102770847804,281.003774054947
Env1,P002,P010,B,248.776972830139,98.6018139602573,191.945597739621
Env1,P002,P010,C,78.4101421522372,410.386395648107,228.822462597009
Env1,P002,P011,A,163.002711664895,1065.66814664841,385.24244951648
Env1,P002,P011,B,6.85437647237166,575.415273597085,94.9705236111279
Env1,P002,P011,C,5.67692990559344,542.239399439951,25.5733109152094
Env1,P002,P012,A,90.2814652849551,432.042067291327,97.4979986320296
Env1,P002,P012,B,242.025179071089,506.706903760068,211.3430270356
Env1,P002,P012,C,29.3066519044972,421.154714976807,177.230016033447
Env1,P002,P013,A,350.011330737554,281.704934479312,320.925980882697
Env1,P002,P013,B,121.047405434037,75.2132080539141,210.424170489393
Env1,P002,P013,C,130.886287992758,35.9891995072763,79.2024649309656
Env1,P002,P014,A,584.452373034011,149.730210211991,309.524072778681
Env1,P002,P014,B,277.645065976275,20.3806529190689,148.489441855475
Env1,P002,P014,C,62.0508037654636,219.599235391955,106.163790807378
Env1,P002,P015,A,267.649285324451,313.796977756547,251.352077575627
Env1,P002,P015,B,880.306012571896,306.978736916102,259.266817152839
Env1,P002,P015,C,423.766684952359,228.67134998864,49.0861454199778
Env1,P002,P016,A,418.425771411908,373.983808663034,226.10695623631
Env1,P002,P016,B,26.2751954435258,240.066799107335,86.093513839872
Env1,P002,P016,C,316.20043780532,439.425856296908,291.131875529422
Env1,P002,P017,A,383.485242502789,358.216036130503,312.389867895393
Env1,P002,P017,B,257.630567466401,224.057010870748,146.326454747903
Env1,P002,P017,C,3.68369965938316,409.972135852229,128.795824947756
Env1,P002,P018,A,420.399416567496,264.792480853415,133.122819192531
Env1,P002,P018,B,206.996459877031,231.963101648832,44.145418955547
Env1,P002,P018,C,797.258801927224,359.729061660028,148.008504333622
Env1,P002,P019,A,783.486440095307,430.38582318706,9.71175487771583
Env1,P002,P019,B,145.417439411212,51.2942936524929,304.884898175281
Env1,P002,P019,C,150.889704588983,398.21628317536,106.334394626436
Env1,P002,P020,A,114.574205703243,221.023076639423,36.363157635924
Env1,P002,P020,B,114.117623868664,497.130853665756,205.411437480729
Env1,P002,P020,C,277.9875237345,556.098836521383,261.586386342831
Env1,P002,P021,A,233.878018313764,9.7350816165898,244.697862715029
Env1,P002,P021,B,253.124221325839,294.061909488899,232.792369192293
