"logConc","density","densK","density_pred","density_resid","densK_pred","densK_resid"
-3.019448903,0.017,17,0.00919393775513461,0.00780606224486539,9.19393711047087,7.80606288952913
-3.019448903,0.018,18,0.00919393775513461,0.00880606224486539,9.19393711047087,8.80606288952913
-1.633154439,0.121,121,0.091761895013203,0.029238104986797,91.761893271062,29.238106728938
-1.633154439,0.124,124,0.091761895013203,0.032238104986797,91.761893271062,32.238106728938
-0.940007258,0.206,206,0.2058451248023,0.000154875197699605,205.845123355573,0.154876644427048
-0.940007258,0.215,215,0.2058451248023,0.00915487519769961,205.845123355573,9.15487664442705
-0.246860078,0.377,377,0.390854728057856,-0.0138547280578561,390.854727825155,-13.8547278251551
-0.246860078,0.374,374,0.390854728057856,-0.0168547280578561,390.854727825155,-16.8547278251551
0.446287103,0.614,614,0.650170280858195,-0.0361702808581948,650.170282213088,-36.1702822130884
0.446287103,0.609,609,0.650170280858195,-0.0411702808581949,650.170282213088,-41.1702822130884
1.139434283,1.019,1019,0.973718156965527,0.0452818430344727,973.718159190249,45.2818408097509
1.139434283,1.001,1001,0.973718156965527,0.0272818430344727,973.718159190249,27.2818408097509
1.832581464,1.334,1334,1.34166629211938,-0.00766629211937708,1341.66629334832,-7.666293348316
1.832581464,1.364,1364,1.34166629211938,0.0223337078806229,1341.66629334832,22.333706651684
2.525728644,1.73,1730,1.73033273988321,-0.000332739883207589,1730.33273748977,-0.332737489767851
2.525728644,1.71,1710,1.73033273988321,-0.0203327398832076,1730.33273748977,-20.3327374897679
