"","ph1","ph1_gv"
"B001",110.948172,110.117945919194
"B002",80.3792021,109.519608875481
"B003",101.0641502,109.794978467469
"B004",127.3979867,109.691145169984
"B005",104.8135825,109.501922426466
"B006",106.8770293,109.888535688895
"B007",72.20702993,110.476639037541
"B008",124.9793856,110.244907652889
"B009",133.4612131,109.940468053086
"B010",NA,109.792393441644
"B011",104.4336708,109.778648157796
"B012",110.5706098,109.765001993412
"B013",NA,109.510662027196
"B014",NA,109.467765105094
"B015",NA,109.043722827012
"B016",117.0723039,109.074790197224
"B017",91.12970304,109.035608339209
"B018",83.45537341,109.37393922872
"B019",112.6936642,109.548102352423
"B020",NA,109.383209257019
"B021",118.4357727,109.365364636259
"B022",106.4763667,108.740911841565
"B023",105.9309565,109.873965558798
"B024",119.0405939,109.873965558798
"B025",112.6598931,109.5819839662
"B026",118.5979561,109.213566517361
"B027",114.6364834,108.777279725536
"B028",128.0005141,108.777279725536
"B029",108.3335934,108.789164535789
"B030",119.1102035,109.164156383305
"B031",NA,109.092180937589
"B032",110.9910218,109.39658546167
"B033",105.06823,109.545279744201
"B034",118.8072487,109.524596667519
"B035",95.92176422,109.545058009104
"B036",NA,109.145096428572
"B037",136.5264466,108.723015686373
"B038",134.244459,108.729023763012
"B039",124.7810757,109.532083737386
"B040",88.24224701,109.955224915382
"B041",96.49533542,109.61837902439
"B042",119.3617537,109.855462183793
"B043",92.52532581,109.682984648681
"B044",NA,109.443374614057
"B045",134.5322398,109.131318840388
"B046",126.7664422,109.531340940022
"B047",NA,109.742136586974
"B048",102.1675476,109.932036677851
"B049",105.8441408,110.128304246748
"B050",102.3900021,109.644015660122
"B051",122.3579795,109.55621877543
"B052",117.7650806,109.923682899036
"B053",96.15930137,109.783364418618
"B054",110.6945618,109.77384903024
"B055",103.3885394,109.509948327037
"B056",99.33192995,109.964797907773
"B057",92.07110022,109.61061367271
"B058",118.0688496,109.572597482051
"B059",106.2592094,109.572597482051
"B060",NA,109.395241475024
"B061",91.97572342,109.598669173313
"B062",142.5993877,108.983640483636
"B063",95.0263973,108.878943906575
"B064",125.8648558,109.039609990755
"B065",113.3432524,108.83613264046
"B066",124.4016962,108.851091310548
"B067",121.6360597,108.746318579597
"B068",96.85959273,110.50876989718
"B069",NA,109.590907725567
"B070",91.25448823,109.767560254779
"B071",132.4869367,109.600920538853
"B072",116.8159747,109.748006570185
"B073",79.70936754,109.559999541805
"B074",115.6076147,108.921173197039
"B075",NA,108.674925139626
"B076",109.2184405,109.512898119955
"B077",127.4247954,109.81735184639
"B078",113.6855739,109.855462183793
"B079",105.2417459,109.282118760592
"B080",NA,109.012040347751
"B081",126.4850505,109.296257578646
"B082",123.7404364,109.294753012757
"B083",125.7680725,109.448538275759
"B084",93.13707928,109.44023024561
"B085",127.7642246,109.76890323127
"B086",108.8795378,109.90841906014
"B087",NA,110.040254905915
"B088",121.2552039,110.110268061912
"B089",100.741407,110.298637155259
"B090",129.0484647,110.131847074298
"B091",NA,110.085733524154
"B092",95.7999439,110.000227915571
"B093",99.64435611,110.089232025201
"B094",114.7477569,110.089232025201
"B095",85.22140972,109.797296531203
"B096",132.3920106,109.774613654997
"B097",93.03688981,110.20023462604
"B098",NA,109.995684058587
"B099",99.86658384,110.21385449817
"B100",113.2955512,110.21385449817
"B101",113.4294418,109.969772111763
"B102",83.78171996,110.106757625451
"B103",99.67910171,109.364055143592
"B104",97.36036614,109.364055143592
"B105",78.17311285,110.50876989718
"B106",97.52605699,110.089232025201
"B107",NA,109.201030117603
"B108",130.4800795,109.510715198063
"B109",122.6059872,109.563529057627
"B110",108.1809095,108.958399457294
"B111",111.2170884,108.958399457294
"B112",105.8419252,109.075608888779
"B113",113.8685487,109.02894976756
"B114",129.4065755,109.129135830407
"B115",104.2757408,109.053415702118
"B116",121.816628,108.764458038256
"B117",137.7661032,109.043354794813
"B118",90.60111786,109.896161308411
"B119",NA,110.059932732702
"B120",89.16546837,110.30174265326
"B121",138.7354524,109.964358174887
"B122",NA,109.966024168318
"B123",128.6449348,109.401698623255
"B124",110.9646078,110.040986020657
"B125",NA,109.906249173663
"B126",118.3339256,109.762511548585
"B127",100.9085869,109.538770734494
"B128",92.52048745,110.067306067893
"B129",112.6772263,109.794988082267
"B130",119.9899631,109.971568622315
"B131",90.54733461,109.988024538882
"B132",96.76987078,109.934966166853
"B133",NA,109.842466835671
"B134",123.8664209,110.094103256741
"B135",108.8037407,110.168819646838
"B136",76.2521964,110.182995954315
"B137",NA,109.864772781877
"B138",122.3805227,109.973271328533
"B139",123.063805,109.688507930136
"B140",96.51754423,109.87839356149
"B141",103.8001183,109.348939345981
"B142",121.6205916,109.750762760012
"B143",120.813603,109.305040815087
"B144",NA,94.504781361712
"B145",120.07216,109.282998771171
"B146",133.4372309,109.146441641802
"B147",119.7444876,109.52495906425
"B148",71.51030413,109.621690679752
"B149",108.2962726,109.616556406055
"B150",120.6989406,109.236757852445
"B151",101.0185697,109.623573840557
"B152",78.9104583,109.404297709739
"B153",117.8537283,109.568356351915
"B154",100.3106807,108.76527504029
"B155",96.53494543,109.855462183793
"B156",105.7855638,109.140301785835
"B157",117.4131808,109.649365656396
"B158",85.88679483,109.993998498993
"B159",111.5050141,109.563906980156
"B160",118.0831123,109.475986652556
"B161",81.73502948,110.145862354333
"B162",115.9024534,108.997800337187
"B163",111.4771529,109.392016446198
"B164",107.7504407,109.342255148784
"B165",122.5364967,109.555841520427
"B166",NA,108.726614070629
"B167",108.2194322,109.209613385108
"B168",97.37150044,109.508208691252
"B169",107.0737769,109.751239073419
"B170",114.5336208,109.92847477243
"B171",89.00714969,110.171185001136
"B172",93.20834689,110.128346879568
"B173",105.8938186,109.964912237745
"B174",107.1881065,110.196816149708
"B175",110.3589603,109.305040815087
"B176",NA,110.159409849442
"B177",92.51820332,110.343445646829
"B178",NA,110.32710476654
"B179",70.16512465,110.051665896623
"B180",119.072512,110.027273396036
"B181",118.0940204,110.032831118564
"B182",111.5328839,110.089232025201
"B183",103.625937,110.088989096745
"B184",75.64256997,110.386764331281
"B185",97.5737388,110.02093350103
"B186",104.371728,109.348939345981
"B187",135.0217305,109.305040815087
"B188",114.7584024,108.994395636165
"B189",91.48442984,109.354706687758
"B190",117.9275836,109.400905661707
"B191",120.8651939,110.023044635346
"B192",103.2922069,109.693845558178
"B193",86.4164649,110.137777256981
"B194",NA,110.001408315603
"B195",NA,110.407448114746
"B196",113.985767,109.651065830537
"B197",86.5574747,110.041072071618
"B198",103.1520399,109.653859144053
"B199",89.75520434,109.406412212728
"B200",143.2889703,108.567143066408
"B201",123.0374294,108.994395636165
"B202",NA,107.957596257513
"B203",NA,108.591552876793
"B204",117.391443,109.653859144053
"B205",141.5122461,109.840098228444
"B206",109.3436156,109.086556701331
"B207",85.1654912,109.782842104091
"B208",107.6073347,108.994395636165
"B209",126.4424207,108.605024987018
"B210",102.9571684,108.863700063201
"B211",128.2274132,108.978387378849
"B212",NA,109.163870423055
"B213",NA,108.938256395848
"B214",118.437795,108.921365554791
"B215",105.470406,108.86356762754
"B216",111.1370072,109.12316062
"B217",99.19762517,109.266761696793
"B218",NA,109.079086864925
"B219",130.4367712,108.41309360052
"B220",105.7895888,108.530708184452
"B221",114.5893715,109.114307374774
"B222",109.1925809,108.648403513714
"B223",118.3432829,109.47861112574
"B224",114.3157227,108.971013100294
"B225",138.4871643,110.063846567928
"B226",97.89813235,110.24636074223
"B227",84.08838224,110.313494733063
"B228",111.8234303,110.084581395974
"B229",127.8990349,110.129316442614
"B230",120.0215509,110.343445646829
"B231",122.1374795,110.150493058245
"B232",129.0095761,109.759952207563
"B233",109.2478587,109.768787088681
